code,title,description,quantity,price,cost,sold
49596,Outdoors Component,"Proin sapien tortor, fermentum eu ante vel, faucibus euismod tellus. Aenean pretium mauris id velit elementum, eu scelerisque metus condimentum. Vivamus suscipit dolor in nisi dapibus fermentum. Mauris tortor augue, commodo sit amet ipsum ac, porttitor aliquet augue. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Vivamus facilisis ornare justo, sed faucibus quam ornare ac. In hac habitasse platea dictumst. Proin vitae ligula ut enim gravida viverra. Etiam purus leo, consequat ut congue a, posuere eu quam. Aenean vitae consequat elit. Pellentesque id ultricies ante, vel feugiat ipsum. Aenean pulvinar tincidunt neque, eget rhoncus nulla congue ut. Donec nulla urna, maximus ut tellus in, accumsan mollis sem.",166,69.95,55.95,210
43494,Bath Implement,"In molestie tortor sit amet orci dapibus, sed pellentesque velit laoreet. Suspendisse blandit mauris finibus sapien pulvinar, nec bibendum ligula tempus. Praesent vitae maximus quam. Morbi at mattis lorem. Nullam cursus consectetur odio, eget convallis ante semper id. Praesent eget velit quam. Nulla et lectus tellus. Aliquam ultrices, est vitae vestibulum scelerisque, urna purus vulputate neque, eu laoreet quam sapien non massa. Nam porttitor sagittis elementum. Cras posuere fermentum justo, at mollis ipsum semper a. Donec id suscipit ipsum, eu ullamcorper turpis. Aenean laoreet nulla id quam fermentum facilisis. Vivamus mauris quam, accumsan at metus ut, ullamcorper luctus sem. Suspendisse in purus semper, suscipit urna nec, tempus lorem. Vivamus venenatis tempus nulla. Mauris sem erat, fringilla id lectus sit amet, vestibulum tempor arcu.",80,57.99,34.99,230
45574,Furniture Component,"Ut eleifend ultricies est quis imperdiet. Mauris convallis felis at nibh accumsan, faucibus ultricies felis porta. Integer egestas eu odio at porta. In magna sem, tincidunt ultrices efficitur rutrum, facilisis sit amet nibh. Nunc vel efficitur purus. Integer laoreet purus eget enim imperdiet ultrices. Aenean varius nisi in ex mollis euismod.",110,133.99,119.95,246
30825,Fitness Thingamajig,"Phasellus eu pulvinar tortor. Donec nec purus et massa hendrerit finibus. Sed eu felis pretium, tincidunt risus quis, tempus lorem. Duis consequat vel erat placerat elementum. Donec sodales maximus lectus, vitae blandit eros congue a. Pellentesque dignissim mi a sem dapibus eleifend. Sed eu dignissim diam. Pellentesque posuere imperdiet maximus. Fusce quis dui sed ligula viverra tempus in ac orci. Curabitur tincidunt placerat ante, ac venenatis tellus ullamcorper cursus.",119,135.95,94.99,108
34312,Kitchen Paraphernalia,"Phasellus ut ante eleifend, ultrices massa non, varius diam. Nulla vestibulum maximus justo eget efficitur. Vivamus interdum bibendum sapien, quis aliquam diam ultricies nec. Nunc dui metus, ultricies vel orci ut, scelerisque consectetur magna. Nam commodo pulvinar augue vel euismod. Quisque nibh odio, posuere sed molestie eu, mollis nec velit. Praesent sit amet tempor libero. Donec eu lorem lectus. Nam scelerisque eleifend lorem ut efficitur.",252,110,66.95,36
15744,Furniture Kit,"Suspendisse ac nibh lacinia, maximus magna id, auctor erat. Proin auctor ultrices erat, id blandit arcu maximus vitae. Phasellus eu urna sapien. Vestibulum ornare arcu est. Integer viverra venenatis mauris, a pharetra dolor accumsan a. Nunc porta egestas arcu. Nunc quis odio id augue scelerisque finibus. Donec ultrices in felis in tincidunt. Integer pharetra massa at aliquet vestibulum. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam aliquet justo eu tortor vehicula tincidunt. Vestibulum commodo, purus sit amet sollicitudin tincidunt, eros nibh lobortis massa, at blandit lectus turpis quis nulla. Proin accumsan tortor euismod tincidunt fringilla. Nunc a augue ante. Proin posuere dolor non turpis mattis varius. Suspendisse porttitor ornare rhoncus.",153,13.99,9.99,132
48103,Skin Care Supplies,"In molestie tortor sit amet orci dapibus, sed pellentesque velit laoreet. Suspendisse blandit mauris finibus sapien pulvinar, nec bibendum ligula tempus. Praesent vitae maximus quam. Morbi at mattis lorem. Nullam cursus consectetur odio, eget convallis ante semper id. Praesent eget velit quam. Nulla et lectus tellus. Aliquam ultrices, est vitae vestibulum scelerisque, urna purus vulputate neque, eu laoreet quam sapien non massa. Nam porttitor sagittis elementum. Cras posuere fermentum justo, at mollis ipsum semper a. Donec id suscipit ipsum, eu ullamcorper turpis. Aenean laoreet nulla id quam fermentum facilisis. Vivamus mauris quam, accumsan at metus ut, ullamcorper luctus sem. Suspendisse in purus semper, suscipit urna nec, tempus lorem. Vivamus venenatis tempus nulla. Mauris sem erat, fringilla id lectus sit amet, vestibulum tempor arcu.",21,118.99,70.95,135
30493,Cleaning Gizmo,"Praesent nec euismod ex. Cras pharetra auctor imperdiet. Maecenas nisi ipsum, tristique eu metus eu, tincidunt accumsan nibh. Aenean et purus faucibus, fermentum risus eget, posuere diam. Fusce eget orci non sapien gravida sagittis. Curabitur placerat condimentum tortor. Duis cursus feugiat sem, quis convallis mi lobortis vitae. Praesent in dui mi. Ut egestas consectetur massa, vitae vulputate diam feugiat vitae. Nam tincidunt dui massa, et lacinia arcu cursus a. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Mauris eu malesuada elit. Praesent accumsan venenatis leo eget tempor. Quisque luctus consequat faucibus.",197,54.95,48.95,140
30717,Cooking Apparatus,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Suspendisse luctus luctus metus et eleifend. Donec pharetra sem congue elementum venenatis. Nulla vitae odio urna. Ut sit amet eros orci. Praesent dictum ac dui a efficitur. Ut non hendrerit velit, nec mattis dolor. Ut venenatis elit quam, eget pulvinar augue finibus sed. Proin mi magna, venenatis eu sagittis vel, porttitor vel velit. Pellentesque nisl lacus, aliquam quis turpis ac, congue mollis arcu. Suspendisse eu nunc consequat, tincidunt diam eget, ornare diam. Curabitur iaculis vitae erat in eleifend.",11,39.99,31.95,43
32812,Phone Tool,"Praesent nec euismod ex. Cras pharetra auctor imperdiet. Maecenas nisi ipsum, tristique eu metus eu, tincidunt accumsan nibh. Aenean et purus faucibus, fermentum risus eget, posuere diam. Fusce eget orci non sapien gravida sagittis. Curabitur placerat condimentum tortor. Duis cursus feugiat sem, quis convallis mi lobortis vitae. Praesent in dui mi. Ut egestas consectetur massa, vitae vulputate diam feugiat vitae. Nam tincidunt dui massa, et lacinia arcu cursus a. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Mauris eu malesuada elit. Praesent accumsan venenatis leo eget tempor. Quisque luctus consequat faucibus.",70,149,134.95,233
